kind,policy,scenario,burst_duration_seconds,rate_cv2,achieved_rate_cv2_mean,achieved_rate_cv2_max,seed,risk_e,p_mission,risk_utilization,target_met,pass_count,fixed_over_policy_gain,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,max_k_per_pass,p_cache_entries
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439652229459,2.34478282244,20360637,0.00151074085215,0.00150960025764,0.150317449503,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.441054628287,2.4158251753,20360638,0.00941526156532,0.00937107676935,0.936810640218,true,6321027,4.99179642802,24.95898831,1,600,310748,293465,272408,7,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.441054628287,2.4158251753,20360638,0.00157121948812,0.00156998576901,0.15633502313,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.44036395237,2.5348289686,20360639,0.00976557818276,0.00971804976412,0.971666850253,true,6308318,5.00185310886,25.0092671295,1,600,310915,293114,272206,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.44036395237,2.5348289686,20360639,0.00173215197785,0.00173065266842,0.172347671073,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439772612386,2.73557254309,20360640,0.00928540279583,0.00924242656336,0.923889801413,true,6302325,5.00660946555,25.0330543093,1,600,309783,292647,271680,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439772612386,2.73557254309,20360640,0.00156657720476,0.00156535076321,0.155873119823,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439865610526,2.28367037738,20360641,0.00933925896687,0.00929578353588,0.929248445326,true,6286407,5.01928685177,25.0964372813,1,600,309407,292243,271120,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439865610526,2.28367037738,20360641,0.00158746747987,0.00158620811985,0.157951684701,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440652051485,2.55255025361,20360642,0.00943338136202,0.00938902660142,0.938613544813,true,6304323,5.00502274392,25.0251183196,1,1200,310050,292658,271641,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440652051485,2.55255025361,20360642,0.00160513394709,0.00160384640858,0.159709483393,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440827676188,3.08437229509,20360643,0.0094102282594,0.00936609061838,0.936309830494,true,6312388,4.99862809447,24.9931583737,1,600,310588,293272,272388,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440827676188,3.08437229509,20360643,0.00159082024007,0.00158955555627,0.158285281533,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.441574124793,2.21016642966,20360644,0.00944244128771,0.00939800142257,0.939514999832,true,6284342,5.02093616165,25.1046901967,1,600,309296,291954,270881,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.441574124793,2.21016642966,20360644,0.00163717859749,0.00163583915168,0.16289789927,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439256454721,2.42844129474,20360645,0.00933623899458,0.00929279163208,0.928947960612,true,6309994,5.00052456468,25.0026320152,1,600,309913,292758,272115,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439256454721,2.42844129474,20360645,0.00164730135426,0.00164594529809,0.16390510509,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440479772262,2.82423923063,20360646,0.00937902190258,0.00933517606076,0.933204824127,true,6291363,5.01533292547,25.0766728927,1,600,309461,292223,271011,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440479772262,2.82423923063,20360646,0.00156245073066,0.00156123073999,0.155462539107,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439063390352,2.59974582429,20360647,0.00929899267316,0.00925589074576,0.925241982826,true,6300992,5.00766863376,25.0383542782,1,600,309833,292702,271535,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439063390352,2.59974582429,20360647,0.00155155426,0.00155035122197,0.154378349402,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440257814523,2.27357379865,20360648,0.0092395999118,0.00919704596985,0.919332452813,true,6278627,5.02550637265,25.1275353672,1,600,308788,291740,270609,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440257814523,2.27357379865,20360648,0.00157508805758,0.0015738482574,0.156719942551,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440159136804,2.61371786077,20360649,0.00934479554838,0.00930126863535,0.92979933055,true,6304682,5.00473774887,25.023689696,1,600,310096,292842,271874,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440159136804,2.61371786077,20360649,0.0015952046188,0.00159393295619,0.158721523544,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.44041382519,2.59554116131,20360650,0.0092718129393,0.00922896221859,0.922537622071,true,6310344,5.00024721315,25.0012397105,1,600,310024,292929,271947,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.44041382519,2.59554116131,20360650,0.00161790022633,0.0016165921313,0.160979717485,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.6,300,0.6,0.523649528787,3.11767287929,20460621,0.00999610258252,0.00994630760578,0.994603834959,true,6255219,5.04431259721,25.2215697004,1,600,309462,291165,270062,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.6,300,0.6,0.523649528787,3.11767287929,20460621,0.00174981844507,0.00174828840534,0.174105469765,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.6,300,0.6,0.525608015728,3.15864912693,20460622,0.00985466731226,0.00980626919128,0.980531144024,true,6269466,5.03284968768,25.1642484384,1,600,309677,291699,270663,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.6,300,0.6,0.525608015728,3.15864912693,20460622,0.00173769692742,0.00173618800625,0.172899388911,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.6,300,0.6,0.523935653633,3.14591280563,20460623,0.00996388958356,0.00991441449353,0.991398668542,true,6275808,5.02776375568,25.138836306,1,600,310191,292026,270773,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.6,300,0.6,0.523935653633,3.14591280563,20460623,0.00169610980567,0.00169467222431,0.168761505127,true,157766400,0.2,1,1,1,,,,,
