hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
77,2021-01-04T05:00:00Z,44200.2083333,1.12645367537,1.12645367537,false,raw,0.749729961288,0.376723714082,10.7,3,10.2787354034
78,2021-01-04T06:00:00Z,44200.25,1.04138744653,1.04138744653,false,raw,0.750038681505,0.291348765025,10.7,3,9.94084763371
79,2021-01-04T07:00:00Z,44200.2916667,0.932299675961,0.932299675961,false,raw,0.750347401723,0.181952274238,10.7,3,9.50687369711
80,2021-01-04T08:00:00Z,44200.3333333,0.885127451311,0.885127451311,false,raw,0.75065612194,0.134471329371,10.7,3,9.32056194418
81,2021-01-04T09:00:00Z,44200.375,0.776276930353,0.776276930353,false,raw,0.751892059626,0.0243848707272,10.7,3,8.89467658053
82,2021-01-04T10:00:00Z,44200.4166667,0.747179095089,0.747179095089,false,raw,0.750244494984,0,10.7,3,8.77786059131
83,2021-01-04T11:00:00Z,44200.4583333,0.721549105916,0.721549105916,false,raw,0.749382258603,0,10.7,3,8.76777242566
84,2021-01-04T12:00:00Z,44200.5,0.69912914148,0.69912914148,false,raw,0.747668686981,0,10.7,3,8.74772363768
85,2021-01-04T13:00:00Z,44200.5416667,0.701802420888,0.701802420888,false,raw,0.741622915048,0,10.7,3,8.67698810606
86,2021-01-04T14:00:00Z,44200.5833333,0.688465442593,0.688465442593,false,raw,0.735633470885,0,10.7,3,8.60691160936
87,2021-01-04T15:00:00Z,44200.625,0.612536816005,0.612536816005,false,raw,0.73411704646,0,10.7,3,8.58916944358
88,2021-01-04T16:00:00Z,44200.6666667,0.605127164939,0.605127164939,false,raw,0.731816323855,0,10.7,3,8.5622509891
89,2021-01-04T17:00:00Z,44200.7083333,0.627536586992,0.627536586992,false,raw,0.73039110637,0,10.7,3,8.54557594453
90,2021-01-04T18:00:00Z,44200.75,0.635312570115,0.635312570115,false,raw,0.73030751753,0,10.7,3,8.5445979551
